Month,Utilities,Groceries,Food,Transportation,Stationary,Subscriptions,Entertainment,Medical_Expenses,Phone/Internet_Bill,Total_Expenses
1,66,64,54,180,108,19,132,100,49,1489
2,58,146,52,129,63,36,94,129,35,1575
3,57,195,85,160,42,32,194,48,31,1673
4,59,179,67,117,82,77,93,175,59,1735
5,63,125,63,190,53,95,50,22,59,1598
6,53,145,62,182,39,89,104,152,45,1690
7,53,141,83,175,54,85,185,42,33,1587
8,63,91,24,121,90,35,186,33,29,1532
9,68,78,33,112,26,50,74,56,54,1394
10,56,85,49,126,34,67,65,68,54,1258
11,60,122,30,172,97,49,197,42,34,1538
12,67,96,33,160,60,16,175,20,29,1456
1,59,71,63,149,106,57,70,91,33,1641
2,65,146,32,176,93,46,74,36,33,1359
3,57,142,48,194,116,90,69,24,47,1454
4,53,143,36,167,43,13,89,42,28,1494
5,50,119,43,186,66,43,97,85,35,1408
6,65,186,40,134,81,78,181,28,48,1795
7,57,182,61,199,88,82,175,18,54,1487
8,66,118,87,194,47,17,71,82,58,1444
9,66,147,71,149,42,75,157,43,66,1765
10,52,131,43,155,77,92,130,96,69,1738
11,54,169,82,130,48,43,58,21,21,1385
12,58,131,75,124,118,87,80,94,63,1584
1,63,169,78,135,44,59,133,89,33,1512
2,56,104,79,194,25,73,127,64,23,1501
3,61,137,59,138,90,48,84,21,27,1474
4,69,183,52,129,87,20,60,78,54,1390
5,53,65,85,129,105,60,115,34,57,1560
6,68,138,48,101,56,64,139,84,20,1531
7,54,111,68,154,62,26,160,83,46,1443
8,59,82,20,178,110,38,143,43,48,1398
9,57,105,37,102,23,92,89,30,63,1276
10,64,88,54,118,72,55,99,29,64,1386
11,53,63,37,106,68,85,124,19,45,1437
12,59,167,93,193,48,59,89,79,63,1502
