Month,Utilities,Groceries,Food,Transportation,Stationary,Subscriptions,Entertainment,Medical_Expenses,Phone/Internet_Bill,Total_Expenses
1,56,131,54,171,80,30,152,141,38,853
2,72,154,114,187,119,33,180,72,21,952
3,73,187,69,137,21,73,70,77,41,748
4,78,187,88,190,78,51,64,70,63,869
5,72,195,103,102,70,16,70,92,58,778
6,67,83,99,113,28,99,102,149,39,779
7,77,190,99,170,63,17,84,100,55,855
8,67,183,43,101,25,63,155,23,48,708
9,67,169,83,133,93,71,63,114,67,860
10,64,151,117,186,81,49,131,130,43,952
11,75,168,99,140,48,24,94,84,44,776
12,56,88,40,107,107,72,188,100,27,785
1,52,114,72,104,60,37,184,91,31,745
2,51,112,87,122,81,97,86,118,63,817
3,57,165,74,164,118,56,180,20,24,858
4,75,198,53,126,28,88,64,109,61,802
5,77,156,90,162,115,61,145,48,55,909
6,62,111,110,158,105,37,115,64,25,787
7,77,107,83,183,49,71,124,147,47,888
8,74,182,101,196,20,36,170,135,32,946
9,58,82,109,171,46,18,111,70,61,726
10,61,103,118,158,51,97,162,81,68,899
11,75,131,51,138,21,12,162,120,68,778
12,73,160,98,101,21,63,136,148,38,838
1,79,81,92,143,109,41,117,142,36,840
2,55,103,108,197,89,95,188,116,28,979
3,77,138,109,179,112,12,197,109,22,955
4,68,99,110,151,52,49,177,58,37,801
5,57,80,50,191,76,98,91,118,26,787
6,77,95,99,101,20,57,189,56,51,745
7,76,198,48,198,38,57,180,73,52,920
8,73,195,114,171,55,47,153,103,54,965
9,65,168,64,192,37,91,103,87,52,859
10,63,100,87,119,27,16,194,147,52,805
11,65,155,98,185,41,39,87,128,27,825
12,76,106,60,129,116,37,160,80,67,831
1,68,83,74,163,68,26,95,136,25,738
2,52,184,76,123,112,55,144,118,52,916
3,69,142,71,186,52,76,177,37,44,854
4,59,174,93,157,86,55,73,133,51,881
5,64,165,62,165,46,11,66,123,52,754
6,58,122,87,138,112,51,75,118,69,830
7,74,103,52,159,26,66,85,39,20,624
8,57,189,55,113,95,96,192,111,53,961
9,51,111,102,185,70,34,112,144,41,850
10,75,137,88,151,61,79,64,73,62,790
11,77,180,47,152,79,14,152,25,64,790
12,69,173,86,198,74,49,101,32,69,851
1,77,185,69,118,36,72,68,111,45,781
2,54,169,101,122,28,21,178,77,20,770
3,64,113,87,188,20,25,118,41,48,704
4,72,146,115,125,35,60,135,48,33,769
5,77,148,86,193,81,78,193,104,58,1018
6,53,112,62,109,88,43,187,115,20,789
7,73,148,43,115,43,89,51,147,51,760
8,76,163,63,111,69,44,173,52,52,803
9,78,130,82,111,86,74,123,62,63,809
10,78,92,51,194,65,11,84,100,45,720
11,57,172,65,173,109,43,164,124,26,933
12,53,137,114,128,55,98,70,120,28,803
1,73,143,88,198,55,91,145,56,31,880
2,66,134,52,122,108,39,66,132,39,758
3,65,168,52,158,38,58,149,95,28,811
4,56,107,117,194,71,92,160,136,24,957
5,52,91,64,151,104,62,193,76,58,851
6,62,132,81,157,58,23,171,94,37,815
7,64,155,48,173,77,26,56,46,21,666
8,54,108,76,137,102,17,158,84,41,777
9,69,96,110,188,64,13,85,89,50,764
10,68,140,93,138,110,83,139,38,58,867
11,79,146,84,112,111,67,197,80,60,936
12,56,80,42,176,111,71,162,75,52,825
1,55,196,45,157,63,54,110,66,40,786
2,65,197,114,135,118,28,69,66,60,852
3,66,93,54,130,20,63,167,22,35,650
4,72,136,114,111,93,25,151,136,27,865
5,75,171,75,189,27,67,109,47,47,807
6,54,120,103,126,82,26,190,65,54,820
7,78,85,108,146,44,75,59,75,49,719
8,67,188,44,132,84,27,60,104,45,751
9,74,165,98,126,68,86,147,124,54,942
10,50,100,94,105,111,90,144,121,22,837
11,70,102,92,136,93,83,132,104,33,845
12,58,189,40,150,64,86,53,132,59,831
1,51,171,111,138,45,43,167,22,69,817
2,61,144,93,104,113,66,194,131,66,972
3,72,158,53,165,94,60,152,57,69,880
4,51,161,69,178,110,60,101,98,49,877
5,72,185,90,180,24,38,181,93,36,899
6,77,163,108,133,25,62,175,62,67,872
7,60,194,62,154,99,84,167,27,23,870
8,57,83,95,124,86,76,142,80,38,781
9,70,84,81,160,41,30,119,20,24,629
10,58,91,85,133,68,87,94,92,45,753
11,74,126,95,193,82,57,110,100,45,882
12,53,80,47,198,71,88,96,146,41,820
1,63,169,67,186,97,97,179,128,45,1031
2,63,138,95,106,22,32,156,37,57,706
3,52,194,54,163,108,37,88,36,58,790
4,71,169,83,124,36,22,74,87,29,695
5,52,184,57,199,105,43,160,27,59,886
6,66,187,81,140,25,61,75,83,53,771
7,76,135,98,169,52,62,199,40,25,856
8,55,198,43,193,94,71,111,113,50,928
9,73,134,48,102,50,49,85,25,21,587
10,69,171,114,103,98,15,167,132,49,918
11,73,181,90,161,76,75,128,45,64,893
12,61,84,109,125,87,28,69,132,31,726
1,64,80,53,163,57,46,175,119,32,789
2,60,82,72,105,69,19,54,149,32,642
3,57,81,104,162,92,26,58,57,54,691
4,79,174,88,168,81,69,127,136,30,952
5,58,113,115,198,54,10,89,83,41,761
6,77,143,111,110,33,69,79,54,40,716
7,54,84,117,125,81,13,138,61,44,717
8,67,119,111,138,33,41,174,116,42,841
9,64,176,64,116,116,75,102,123,59,895
10,68,118,90,169,25,76,184,61,34,825
11,64,108,72,193,46,45,87,116,56,787
12,76,134,72,167,105,75,59,24,29,741
1,50,197,77,112,50,56,158,34,48,782
2,57,84,68,146,87,85,179,114,55,875
3,53,105,82,126,88,29,60,93,59,695
4,55,85,111,122,66,99,95,126,31,790
5,75,92,101,181,108,69,149,87,24,886
6,73,116,111,191,50,18,100,48,33,740
7,57,120,50,122,20,55,150,109,65,748
8,53,133,96,100,82,63,104,134,59,824
9,64,100,86,172,72,18,106,136,45,799
10,58,114,102,124,109,84,87,149,26,853
11,67,170,73,190,36,52,157,44,26,815
12,69,149,72,148,48,72,199,133,40,930
1,66,150,88,119,105,72,153,68,26,847
2,50,175,52,193,106,60,172,81,51,940
3,79,108,88,144,112,39,193,38,37,838
4,50,157,86,165,111,47,112,148,27,903
5,78,134,42,131,29,83,159,143,52,851
6,72,134,71,149,26,17,114,76,22,681
7,73,166,98,171,73,76,100,116,47,920
8,64,87,73,134,115,97,127,51,65,813
9,60,95,107,136,73,94,191,74,67,897
10,67,86,113,106,52,32,134,131,38,759
11,53,108,99,181,21,10,96,30,61,659
12,51,146,51,119,24,46,186,72,63,758
1,52,195,63,180,93,39,169,78,65,934
2,72,175,53,108,59,75,74,122,28,766
3,71,101,43,125,77,38,158,117,42,772
4,54,154,109,117,104,51,149,60,57,855
5,51,96,76,124,95,96,166,125,41,870
6,70,106,96,130,25,49,147,31,64,718
7,74,132,110,109,64,26,171,65,21,772
8,77,133,104,150,72,45,164,45,48,838
9,70,90,79,110,55,68,88,73,53,686
10,72,190,63,121,88,65,82,55,66,802
11,69,162,101,197,92,35,122,59,36,873
12,50,168,100,142,61,34,88,54,22,719
1,67,180,83,150,113,21,68,120,63,865
2,76,128,100,116,93,66,104,66,31,780
3,79,159,47,194,40,90,167,44,37,857
4,74,91,54,158,45,35,96,51,29,633
5,65,150,56,122,45,94,135,33,34,734
6,70,86,48,147,91,68,131,135,58,834
7,52,97,98,116,33,40,157,64,53,710
8,52,116,82,139,109,64,157,58,34,811
9,73,192,43,192,105,34,190,35,64,928
10,59,187,105,154,118,51,83,32,32,821
11,67,111,78,145,48,71,111,35,63,729
12,64,89,69,124,103,14,114,22,64,663
1,63,199,69,167,37,71,86,92,34,818
2,66,167,107,111,78,46,110,143,25,853
3,56,135,102,145,107,20,111,96,53,825
4,74,150,91,103,78,81,197,112,64,950
5,63,153,96,189,60,12,169,25,24,791
6,54,133,86,186,68,18,148,39,68,800
7,78,185,74,149,101,71,194,22,51,925
8,52,181,52,188,92,77,191,120,53,1006
9,60,184,95,166,111,38,186,95,61,996
10,58,158,79,124,24,20,173,57,27,720
11,76,84,87,189,37,79,86,79,67,784
12,62,107,108,176,100,49,94,81,48,825
